FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,sexe
Cody Floyd,--,--,--,,1988-07-18,M
Bobby Flynn,--,170 lbs.,--,,,M
Caros Fodor,5' 9",155 lbs.,74",Orthodox,1984-01-07,M
Mal Foki,5' 7",220 lbs.,--,Orthodox,,M
Matt Foki,5' 7",220 lbs.,--,Orthodox,,M
AJ Fonseca,5' 4",145 lbs.,--,,,M
Rob Font,5' 8",135 lbs.,71",Orthodox,1987-06-25,M
Claudionor Fontinelle,5' 5",185 lbs.,--,Orthodox,,M
Jesse Forbes,6' 2",185 lbs.,75",Southpaw,1984-10-24,M
Sterling Ford,5' 10",155 lbs.,--,,1986-03-12,M
Codale Ford,5' 9",170 lbs.,--,,1979-05-13,M
Jussier Formiga,5' 5",125 lbs.,67",Orthodox,1985-04-14,M
Renee Forte,5' 7",155 lbs.,71",Orthodox,1987-03-27,M
Marcel Fortuna,6' 1",205 lbs.,74",Orthodox,1985-10-22,M
Brian Foster,5' 9",170 lbs.,71",Orthodox,1984-04-03,M
Xavier Foupa-Pokam,6' 1",185 lbs.,--,Open Stance,1982-07-03,M
Mason Fowler,5' 11",170 lbs.,--,,,M
Brandon Foxworth,5' 11",145 lbs.,--,Orthodox,1979-04-28,M
Hermes Franca,5' 6",155 lbs.,71",Orthodox,1974-08-26,M
Glaico Franca Moreira,6' 0",155 lbs.,77",Orthodox,1991-02-28,M
Francisco France,6' 0",205 lbs.,--,,1983-01-21,M
John Franchi,5' 6",145 lbs.,67",Orthodox,1982-07-16,M
Rich Franklin,6' 1",185 lbs.,76",Southpaw,1974-10-05,M
Zoila Frausto,5' 4",135 lbs.,--,Orthodox,,F
Stephanie Frausto,5' 2",115 lbs.,61",Orthodox,1990-09-20,F
Zane Frazier,6' 5",250 lbs.,--,Orthodox,,M
Gary Frazier,6' 0",245 lbs.,--,Orthodox,,M
Justin Frazier,6' 0",265 lbs.,75",Southpaw,1989-06-15,M
Ian Freeman,5' 11",225 lbs.,--,Orthodox,1966-11-10,M
Jason Freeman,6' 2",225 lbs.,--,,1976-09-02,M
Willamy Freire,5' 8",155 lbs.,--,,1987-07-28,M
Patricio Freire,5' 5",145 lbs.,65",,1987-07-07,M
Patricky Freire,5' 7",155 lbs.,71",,1986-06-01,M
Jeremy Freitag,6' 1",205 lbs.,--,,,M
Rafael Freitas,--,205 lbs.,--,Orthodox,,M
Donavon Frelow,5' 7",135 lbs.,--,Orthodox,1985-01-20,M
Clay French,5' 7",161 lbs.,--,Southpaw,1980-10-07,M
Mike French,5' 10",145 lbs.,--,,1975-05-29,M
Matt Frevola,5' 9",155 lbs.,71",Orthodox,1990-06-11,M
Jinh Yu Frey,5' 3",115 lbs.,65",Southpaw,1985-05-20,F
Artem Frolov,5' 10",185 lbs.,--,,1991-09-07,M
Sarah Frota,5' 6",125 lbs.,69",Southpaw,1987-04-14,F
Don Frye,6' 1",219 lbs.,--,Orthodox,1965-11-23,M
Tony Fryklund,6' 0",185 lbs.,--,Orthodox,1971-03-26,M
Jesse Fujarczyk,6' 4",225 lbs.,--,Southpaw,1983-01-28,M
Katsuhisa Fujii,6' 0",205 lbs.,--,Orthodox,1972-08-15,M
Megumi Fujii,5' 3",113 lbs.,--,,1974-04-26,F
Kazuyuki Fujita,6' 0",235 lbs.,--,Orthodox,1970-10-16,M
Keisuke Fujiwara,5' 6",139 lbs.,--,Switch,,M
Riki Fukuda,6' 0",185 lbs.,73",Southpaw,1981-01-06,M
Masio Fullen,5' 10",145 lbs.,70",Orthodox,1986-10-06,M
Travis Fulton,6' 0",240 lbs.,--,Orthodox,1977-05-29,M
Sam Fulton,--,--,--,,,M
Masakatsu Funaki,6' 0",185 lbs.,--,Southpaw,1969-03-13,M
Ricardo Funch,5' 10",170 lbs.,74",Southpaw,1980-08-14,M
Katsuaki Furuki,6' 0",168 lbs.,--,,1980-11-10,M
James Gabert,--,178 lbs.,--,,,M
Gustavo Gabriel,5' 6",125 lbs.,--,Orthodox,1994-04-01,M
Claudia Gadelha,5' 4",115 lbs.,63",Orthodox,1988-12-07,F
Alavutdin Gadjiev,6' 2",185 lbs.,--,Orthodox,1982-06-23,M
Justin Gaethje,5' 11",155 lbs.,70",Orthodox,1988-11-14,M
Sheila Gaff,5' 5",135 lbs.,--,Orthodox,1989-12-29,F
Muin Gafurov,5' 7",135 lbs.,68",Southpaw,1996-05-17,M
Mitch Gagnon,5' 5",135 lbs.,65",Southpaw,1984-10-10,M
Brandon Gaines,6' 3",185 lbs.,--,,,M
Travis Galbraith,6' 0",170 lbs.,--,Orthodox,1981-05-18,M
Dave Galera,5' 11",135 lbs.,--,Orthodox,1978-01-12,M
Zelg Galesic,6' 2",185 lbs.,--,Orthodox,1979-02-16,M
Mickey Gall,6' 2",170 lbs.,74",Switch,1992-01-22,M
Daniel Gallemore,6' 5",265 lbs.,--,,,M
Tom Gallicchio,5' 10",170 lbs.,--,Southpaw,1986-09-23,M
Turrell Galloway,5' 3",145 lbs.,--,,,M
Eric Galvan,--,155 lbs.,--,,,M
Andre Galvao,5' 7",168 lbs.,--,Orthodox,1982-09-29,M
Marcos Galvao,5' 7",135 lbs.,--,Orthodox,1981-06-23,M
Lucas Gamaza,--,170 lbs.,--,,,M
Joey Gambino,5' 7",145 lbs.,--,Orthodox,1988-10-26,M
Manvel Gamburyan,5' 5",135 lbs.,67",Orthodox,1981-05-08,M
Mateusz Gamrot,5' 10",155 lbs.,70",Southpaw,1990-12-11,M
Shamil Gamzatov,6' 2",205 lbs.,76",Orthodox,1990-08-09,M
Ariel Gandulla,5' 11",205 lbs.,--,Orthodox,1968-05-07,M
Ciryl Gane,6' 4",245 lbs.,81",Orthodox,1990-04-12,M
Sean Gannon,6' 3",265 lbs.,--,Southpaw,,M
Eduardo Garagorri,5' 9",145 lbs.,70",Orthodox,1989-05-28,M
Cody Garbrandt,5' 8",125 lbs.,65",Orthodox,1991-07-07,M
Leonard Garcia,5' 10",145 lbs.,68",Orthodox,1979-07-14,M
Edgar Garcia,5' 10",170 lbs.,71",Orthodox,1984-02-22,M
Alejandro Garcia,5' 7",145 lbs.,--,,,M
Alex Garcia,5' 9",170 lbs.,72",Orthodox,1987-07-14,M
Nick Garcia,5' 4",125 lbs.,--,,,M
Steve Garcia,6' 0",155 lbs.,75",Southpaw,1992-05-22,M
Elias Garcia,5' 5",125 lbs.,67",Southpaw,1992-09-13,M
Rafa Garcia,5' 7",155 lbs.,70",Orthodox,1994-08-05,M
Fernie Garcia,5' 7",135 lbs.,67",Orthodox,1992-04-12,M
Rulon Gardner,6' 3",265 lbs.,--,Orthodox,1971-08-16,M
David Gardner,5' 11",155 lbs.,--,Orthodox,1977-05-17,M
Ian Garry,6' 3",170 lbs.,74",Orthodox,1997-11-17,M
Pablo Garza,6' 1",145 lbs.,73",Orthodox,1983-09-16,M
Azamat Gashimov,5' 6",125 lbs.,--,Orthodox,1990-04-07,M
Brian Gassaway,6' 1",170 lbs.,--,Orthodox,1972-08-07,M
Kelvin Gastelum,5' 9",185 lbs.,71",Southpaw,1991-10-24,M
Willie Gates,5' 8",125 lbs.,72",Orthodox,1987-01-21,M
Melissa Gatto,5' 5",125 lbs.,69",Orthodox,1996-02-05,F
Louis Gaudinot,5' 3",125 lbs.,63",Orthodox,1984-08-28,M
Manuel Gaxhja,5' 8",155 lbs.,--,Switch,1997-07-23,M
Charlene Gellner,5' 2",125 lbs.,--,,,F
Chad George,5' 6",135 lbs.,68",Southpaw,1982-04-30,M
Paul Georgieff,6' 2",170 lbs.,--,Orthodox,1982-09-22,M
Brian Geraghty,5' 7",155 lbs.,--,Orthodox,1980-11-04,M
Derek Getzel,6' 0",155 lbs.,--,,,M
Karine Gevorgyan,5' 4",125 lbs.,63",,1989-03-09,F
Darrel Gholar,5' 8",194 lbs.,--,Orthodox,,M
Tiki Ghosn,5' 10",170 lbs.,--,Orthodox,1977-02-09,M
Christos Giagos,5' 10",155 lbs.,71",Orthodox,1990-01-23,M
Joe Giannetti,6' 0",155 lbs.,74",Southpaw,1995-07-05,M
Nick Gibbons,5' 10",155 lbs.,--,,,M
James Giboo,5' 11",170 lbs.,--,Orthodox,1978-01-06,M
Lance Gibson,5' 9",185 lbs.,--,Orthodox,1970-11-20,M
Lee Gibson,5' 7",155 lbs.,--,,,M
Cody Gibson,5' 10",135 lbs.,71",Orthodox,1987-09-11,M
Chase Gibson,5' 10",155 lbs.,72",Orthodox,1990-02-07,M
Kenny Giddens,5' 11",155 lbs.,--,,,M
Thomas Gifford,6' 1",155 lbs.,75",Orthodox,1992-07-26,M
Joseph Gigliotti,5' 11",185 lbs.,--,Orthodox,1993-08-13,M
Joey Gilbert,5' 11",155 lbs.,--,Orthodox,1976-06-05,M
Trevin Giles,6' 0",185 lbs.,74",Orthodox,1992-08-06,M
Kultar Gill,6' 0",154 lbs.,--,Orthodox,1979-03-24,M
Jesse Gillespie,--,185 lbs.,--,,,M
Gregor Gillespie,5' 7",155 lbs.,71",Orthodox,1986-11-13,M
Jason Gilliam,6' 0",170 lbs.,--,Orthodox,,M
Micheal Gillmore,5' 11",170 lbs.,72",Orthodox,1987-03-28,M
Krishaun Gilmore,--,--,--,,,M
Alex Gilpin,5' 7",145 lbs.,--,Orthodox,1992-03-26,M
Bob Gilstrap,6' 3",200 lbs.,--,Orthodox,,M
Demetrius Gioulacos,5' 11",185 lbs.,--,,,M
Billy Giovanella,5' 8",125 lbs.,--,,1985-08-20,M
He-Man Gipson,--,--,--,,,M
Israel Giron,5' 8",155 lbs.,--,,1974-01-16,M
Brandon Girtz,5' 7",155 lbs.,--,,1985-03-06,M
Jason Glaza,6' 0",230 lbs.,--,,,M
Mike Glenn,--,205 lbs.,--,,1977-10-09,M
Ricky Glenn,6' 0",155 lbs.,70",Southpaw,1989-04-12,M
Mark Godbeer,6' 4",240 lbs.,77",Orthodox,1983-11-22,M
Clint Godfrey,5' 6",135 lbs.,--,Southpaw,1982-10-21,M
Loopy Godinez,5' 2",115 lbs.,61",Orthodox,1993-09-06,F
Jason Godsey,6' 2",230 lbs.,--,Orthodox,,M
Allan Goes,6' 0",205 lbs.,--,Orthodox,1971-04-20,M
Jonny Goh,5' 11",155 lbs.,--,,,M
Hannah Goldy,5' 4",115 lbs.,61",Orthodox,1992-05-18,F
Marcelo Golm,6' 3",249 lbs.,75",Orthodox,1992-09-15,M
Sergio Gomez,5' 6",155 lbs.,--,Orthodox,1982-04-29,M
Frank Gomez,5' 10",135 lbs.,67",Orthodox,1986-03-31,M
Alan Gomez,--,155 lbs.,--,,,M
David Gomez,--,155 lbs.,--,,1983-08-08,M
Ulysses Gomez,5' 6",125 lbs.,--,Orthodox,1983-05-25,M
Joey Gomez,5' 10",135 lbs.,73",Orthodox,1986-07-21,M
Luis Gomez,5' 7",145 lbs.,68",Orthodox,1995-01-28,M
Edson Gomez,5' 8",170 lbs.,69",Switch,1991-02-23,M
Silvana Gomez Juarez,5' 3",115 lbs.,65",Orthodox,1984-12-06,F
Takanori Gomi,5' 7",155 lbs.,70",Southpaw,1978-09-22,M
Akihiro Gono,5' 7",170 lbs.,68",Switch,1974-10-07,M
Gabriel Gonzaga,6' 2",242 lbs.,76",Orthodox,1979-05-18,M
Justin Gonzales,5' 9",145 lbs.,72",Orthodox,1991-04-28,M
Fernando Gonzalez,5' 9",170 lbs.,68",Southpaw,1983-09-15,M
Nick Gonzalez,5' 6",155 lbs.,--,Orthodox,1981-03-03,M
Fabian Gonzalez,5' 10",135 lbs.,--,,,M
Lewis Gonzalez,5' 10",170 lbs.,--,Orthodox,1987-09-19,M
Jason Gonzalez,6' 2",155 lbs.,74",Southpaw,1990-02-28,M
Pearl Gonzalez,5' 4",115 lbs.,--,Orthodox,1986-08-12,F
Jorge Gonzalez,6' 2",205 lbs.,76",Orthodox,1984-02-29,M
Mikey Gonzalez,5' 11",155 lbs.,74",Orthodox,1985-08-13,M
Erick Gonzalez,5' 11",155 lbs.,75",Orthodox,1992-01-20,M
Jennifer Gonzalez,5' 2",125 lbs.,--,,1986-03-22,F
Kier Gooch,--,155 lbs.,--,,1986-04-21,M
Lyman Good,6' 0",170 lbs.,74",Orthodox,1985-05-26,M
Jared Gooden,6' 0",170 lbs.,77",Orthodox,1993-12-05,M
Gary Goodridge,6' 3",249 lbs.,--,Orthodox,1966-01-17,M
Jordan Goodwin,--,155 lbs.,--,,,M
Gerard Gordeau,6' 5",216 lbs.,--,Orthodox,1959-03-30,M
Eddie Gordon,6' 0",185 lbs.,76",Orthodox,1983-07-22,M
Jared Gordon,5' 9",145 lbs.,68",Orthodox,1988-09-06,M
Tebaris Gordon,6' 1",265 lbs.,--,Orthodox,1988-07-19,M
Malcolm Gordon,5' 7",125 lbs.,71",Switch,1990-05-19,M
Tresean Gore,6' 0",185 lbs.,75",Switch,1994-06-21,M
Alex Gorgees,6' 2",155 lbs.,74",Switch,1995-08-11,M
Tim Gorman,5' 5",135 lbs.,--,Southpaw,1983-04-29,M
Chase Gormley,6' 3",265 lbs.,--,Orthodox,,M
Jonathan Goulet,6' 0",170 lbs.,73",Orthodox,1979-07-13,M
Thibault Gouti,5' 10",155 lbs.,72",Orthodox,1987-02-27,M
Wilson Gouveia,6' 1",185 lbs.,76",Orthodox,1978-10-03,M
Todd Gouwenberg,6' 1",205 lbs.,--,Orthodox,1974-09-25,M
Hugo Govea,--,--,--,,,M
Justin Governale,--,145 lbs.,--,,,M
Damian Grabowski,6' 1",241 lbs.,75",Orthodox,1980-05-12,M
Royce Gracie,6' 1",175 lbs.,--,Southpaw,1966-12-12,M
Crosley Gracie,5' 9",190 lbs.,--,Orthodox,1979-07-18,M
Daniel Gracie,6' 2",225 lbs.,--,Orthodox,,M
Ralph Gracie,5' 9",183 lbs.,--,Orthodox,,M
Renzo Gracie,5' 10",185 lbs.,--,Orthodox,1967-03-11,M
Rickson Gracie,5' 10",185 lbs.,--,Switch,1958-11-20,M
Rodrigo Gracie,6' 0",183 lbs.,--,Orthodox,1975-04-11,M
Royler Gracie,5' 8",150 lbs.,--,Southpaw,1965-12-06,M
Ryan Gracie,5' 9",200 lbs.,--,Orthodox,1974-08-14,M
Ralek Gracie,6' 2",210 lbs.,--,Orthodox,1985-10-04,M
Rolles Gracie,6' 4",242 lbs.,--,Orthodox,1978-07-14,M
Cesar Gracie,5' 10",181 lbs.,--,Orthodox,,M
Roger Gracie,6' 4",185 lbs.,79",Orthodox,1981-09-26,M
Igor Gracie,5' 11",170 lbs.,--,,1980-02-04,M
Neiman Gracie,6' 0",170 lbs.,--,,,M
Kron Gracie,5' 9",145 lbs.,70",Southpaw,1988-07-11,M
Steven Graham,6' 1",290 lbs.,--,Orthodox,,M
Scott Graham,6' 4",185 lbs.,--,Orthodox,,M
Miranda Granger,5' 7",125 lbs.,68",Orthodox,1992-04-13,F
TJ Grant,5' 10",155 lbs.,72",Orthodox,1984-02-26,M
Davey Grant,5' 8",135 lbs.,69",Orthodox,1985-12-18,M
Dwight Grant,6' 1",170 lbs.,76",Switch,1984-09-14,M
Alexa Grasso,5' 5",125 lbs.,66",Orthodox,1993-08-09,F
Tony Gravely,5' 5",135 lbs.,69",Orthodox,1991-09-28,M
Michael Graves,5' 10",170 lbs.,71",Orthodox,1991-01-08,M
Shelton Graves,6' 2",255 lbs.,76",Southpaw,1985-10-23,M
James Gray,5' 9",135 lbs.,--,Orthodox,1987-10-25,M
Kevin Gray,5' 4",125 lbs.,67",Orthodox,1985-05-03,M
Sam Greco,6' 2",205 lbs.,--,Orthodox,1967-05-03,M
Bobby Green,5' 10",155 lbs.,71",Orthodox,1986-09-09,M
Desmond Green,5' 10",155 lbs.,73",Southpaw,1989-10-11,M
Gabe Green,5' 10",170 lbs.,73",Switch,1993-05-02,M
Maurice Greene,6' 7",258 lbs.,80",Orthodox,1986-07-05,M
Matt Grice,5' 8",145 lbs.,70",Orthodox,1981-07-29,M
Forrest Griffin,6' 3",205 lbs.,77",Orthodox,1979-03-16,M
Tyson Griffin,5' 6",145 lbs.,68",Orthodox,1984-04-20,M
Max Griffin,5' 11",170 lbs.,76",Orthodox,1985-11-29,M
Jordan Griffin,5' 10",145 lbs.,73",Southpaw,1990-02-28,M
Chad Griggs,6' 1",205 lbs.,73",Orthodox,1978-05-15,M
Chuck Grigsby,6' 6",205 lbs.,--,Orthodox,,M
Rodrigo Gripp de Sousa,5' 11",205 lbs.,--,Orthodox,,M
Maxim Grishin,6' 3",205 lbs.,78",Orthodox,1984-05-02,M
Josh Grispi,5' 11",145 lbs.,74",Orthodox,1988-10-14,M
Garrett Gross,5' 9",155 lbs.,--,Orthodox,1988-08-08,M
Kendall Grove,6' 6",185 lbs.,79",Orthodox,1982-11-12,M
Neil Grove,6' 6",265 lbs.,--,Orthodox,1971-01-18,M
Chris Gruetzemacher,5' 8",155 lbs.,68",Orthodox,1986-06-16,M
Vik Grujic,5' 11",170 lbs.,73",Orthodox,1977-02-06,M
Mike Grundy,5' 7",145 lbs.,72",Orthodox,1987-01-03,M
Wang Guan,5' 9",145 lbs.,71",Orthodox,1986-03-14,M
Nandor Guelmino,6' 3",230 lbs.,--,,1975-12-20,M
Fabricio Guerreiro,5' 10",145 lbs.,--,,1990-07-24,M
Shannon Gugerty,5' 10",155 lbs.,71",Orthodox,1981-12-30,M
Clay Guida,5' 7",155 lbs.,70",Orthodox,1981-12-08,M
Jason Guida,5' 10",214 lbs.,--,,1977-08-04,M
Melvin Guillard,5' 9",155 lbs.,71",Orthodox,1983-03-30,M
Chris Guillen,6' 0",240 lbs.,--,Orthodox,1972-12-09,M
Marcelo Guimaraes,6' 0",185 lbs.,73",Orthodox,1983-06-25,M
Leonardo Guimaraes,6' 0",185 lbs.,--,Orthodox,1982-04-15,M
Brad Gumm,5' 11",170 lbs.,--,Orthodox,,M
John Gunderson,5' 9",155 lbs.,69",Orthodox,1979-01-05,M
John Gunther,5' 9",155 lbs.,72",Orthodox,1985-11-24,M
Jorge Gurgel,5' 7",155 lbs.,69",Orthodox,1977-01-25,M
Fabio Gurgel,6' 0",205 lbs.,--,Orthodox,,M
Andre Gusmao,6' 0",205 lbs.,--,Orthodox,1977-05-19,M
Alexander Gustafsson,6' 5",205 lbs.,79",Orthodox,1987-01-15,M
Justin Guthrie,6' 1",170 lbs.,--,,1981-01-19,M
Horacio Gutierrez,5' 10",145 lbs.,--,,1990-09-15,M
Chris Gutierrez,5' 9",145 lbs.,67",Orthodox,1991-04-22,M
Mike Guymon,6' 0",170 lbs.,74",Orthodox,1974-09-17,M
Chelsea Hackett,5' 4",125 lbs.,66",Switch,1998-08-16,F
Keith Hackney,5' 11",200 lbs.,--,Sideways,,M
Jake Hadley,5' 7",125 lbs.,70",Southpaw,1996-08-03,M
Steve Hadsel,5' 8",170 lbs.,--,,,M
Damir Hadzovic,5' 9",155 lbs.,70",Orthodox,1986-08-08,M
Tim Hague,6' 4",260 lbs.,76",Orthodox,1983-05-09,M
Yazan Hajeh,5' 9",145 lbs.,--,Orthodox,1992-09-04,M
Stoney Hale,6' 0",--,--,,1979-10-18,M
Kevin Haley,6' 2",205 lbs.,--,,,M
Mark Hall,6' 0",190 lbs.,--,Orthodox,,M
Uriah Hall,6' 0",185 lbs.,79",Orthodox,1984-07-31,M
Ryan Hall,5' 10",145 lbs.,70",Southpaw,1985-02-22,M
Dennis Hallman,5' 9",155 lbs.,72",Orthodox,1975-12-02,M
Piotr Hallmann,5' 9",155 lbs.,71",Orthodox,1987-08-25,M
Tony Halme,6' 3",300 lbs.,--,Orthodox,1963-01-06,M
Brandon Halsey,6' 0",185 lbs.,--,,1986-09-16,M
John Halverson,5' 9",155 lbs.,--,Southpaw,1972-09-08,M
Seo Hee Ham,5' 2",115 lbs.,62",Southpaw,1987-03-08,F
Frank Hamaker,--,--,--,,,M
Kazuhiro Hamanaka,6' 0",185 lbs.,--,Southpaw,1978-10-24,M
Matt Hamill,6' 1",205 lbs.,76",Orthodox,1976-10-05,M
Jeremy Hamilton,--,185 lbs.,--,,1984-11-14,M
Anthony Hamilton,6' 5",260 lbs.,76",Orthodox,1980-04-14,M
CJ Hamilton,5' 7",125 lbs.,68",Switch,1986-10-07,M
Jared Hamman,6' 3",185 lbs.,75",Orthodox,1982-03-07,M
James Hammortree,6' 3",185 lbs.,--,Orthodox,1983-11-29,M
Dean Hancock,--,155 lbs.,--,,,M
Joachim Hansen,5' 7",150 lbs.,--,Southpaw,1979-05-26,M
Kay Hansen,5' 2",115 lbs.,63",Orthodox,1999-08-14,F
Nasrat Haqparast,5' 10",155 lbs.,72",Southpaw,1995-08-22,M
Janay Harding,--,135 lbs.,--,,,F
Antoni Hardonk,6' 4",245 lbs.,78",Orthodox,1976-02-05,M
Dan Hardy,6' 0",170 lbs.,74",Orthodox,1982-05-17,M
Greg Hardy,6' 5",265 lbs.,80",Orthodox,1988-07-28,M
Baru Harn,--,265 lbs.,--,,,M
Scott Harper,6' 0",185 lbs.,--,Orthodox,1972-04-14,M
Gerry Harris,6' 8",270 lbs.,--,Orthodox,,M
Gerald Harris,5' 11",185 lbs.,77",Southpaw,1979-11-19,M
Phil Harris,5' 4",125 lbs.,65",Orthodox,1983-09-04,M
Walt Harris,6' 5",250 lbs.,77",Southpaw,1983-06-10,M
Dhafir Harris,--,257 lbs.,--,,1977-08-04,M
Trevor Harris,5' 6",145 lbs.,--,,,M
Carlston Harris,6' 0",170 lbs.,76",Orthodox,1987-07-09,M
Collin Hart,6' 1",185 lbs.,--,Orthodox,1989-10-12,M
Dale Hartt,5' 10",155 lbs.,69",Orthodox,1979-04-04,M
Luke Hartwig,--,--,--,,,M
Clay Harvison,6' 1",170 lbs.,74",Orthodox,1980-09-25,M
Hidehiko Hasegawa,5' 9",170 lbs.,--,,1978-07-13,
Chris Haseman,5' 11",205 lbs.,--,Orthodox,1969-06-02,M
Takayo Hashi,5' 4",135 lbs.,--,Orthodox,1977-10-02,M
Tomohiko Hashimoto,6' 0",250 lbs.,--,Orthodox,,M
Justin Haskins,5' 10",170 lbs.,--,Orthodox,1979-08-30,M
Hayder Hassan,5' 10",170 lbs.,--,,1982-10-20,M
Daiki Hata,5' 6",139 lbs.,--,Orthodox,1982-08-24,M
John Hathaway,6' 1",170 lbs.,75",Orthodox,1987-07-23,M
Phil Hawes,6' 0",185 lbs.,77",Orthodox,1989-01-08,M
Justin Hawes,5' 11",205 lbs.,--,,1979-01-13,M
Chris Hawk,6' 1",205 lbs.,--,,,M
Del Hawkins,5' 5",135 lbs.,--,Orthodox,,M
Tommy Hayden,5' 9",145 lbs.,--,Southpaw,1986-03-11,M
Mike Hayes,6' 4",230 lbs.,--,Orthodox,,M
Ryan Hayes,--,--,--,,,M
Gerric Hayes,5' 10",--,--,,,M
Josh Haynes,5' 9",170 lbs.,--,Orthodox,1977-07-30,M
Dustin Hazelett,6' 1",170 lbs.,76",Orthodox,1986-04-29,M
James Head,6' 1",170 lbs.,73",Orthodox,1984-02-09,M
Pat Healy,6' 0",155 lbs.,72",Orthodox,1983-07-20,M
Ryan Healy,6' 1",155 lbs.,--,Orthodox,1983-07-20,M
Spencer Hearns,5' 11",185 lbs.,--,,,M
David Heath,5' 11",205 lbs.,72",Orthodox,1976-02-10,M
Chris Heatherly,5' 9",155 lbs.,--,Orthodox,1987-11-24,M
Jake Hecht,6' 0",170 lbs.,73",Orthodox,1984-02-09,M
Nick Hein,5' 6",155 lbs.,66",Southpaw,1984-04-24,M
Ian Heinisch,5' 11",185 lbs.,72",Orthodox,1988-08-05,M
Marcin Held,5' 9",155 lbs.,71",Orthodox,1992-01-18,M
Delson Heleno,5' 11",185 lbs.,--,Orthodox,1977-11-16,M
Matt Helm,--,155 lbs.,--,,,M
Elisha Helsper,5' 6",135 lbs.,--,Orthodox,1983-02-06,F
Dan Henderson,5' 11",185 lbs.,74",Orthodox,1970-08-24,M
Benson Henderson,5' 9",170 lbs.,70",Southpaw,1983-11-16,M
Ron Henderson,5' 10",125 lbs.,--,,,M
Josh Hendricks,6' 2",235 lbs.,--,Southpaw,1976-08-28,M
Johny Hendricks,5' 9",185 lbs.,69",Southpaw,1983-09-12,M
Cory Hendricks,6' 3",205 lbs.,--,,1988-05-10,M
Luis Henrique,6' 2",243 lbs.,74",Orthodox,1993-08-21,M
Diego Henrique da Silva,6' 2",185 lbs.,--,Orthodox,1986-08-22,M
Danny Henry,6' 0",145 lbs.,73",Orthodox,1988-07-17,M
Victor Henry,5' 7",135 lbs.,68",Switch,1987-05-04,M
TJ Hepburn,5' 7",155 lbs.,--,,,M
Jai Herbert,6' 1",155 lbs.,77",Orthodox,1988-05-13,M
Ed Herman,6' 1",205 lbs.,77",Orthodox,1980-10-02,M
Dave Herman,6' 4",242 lbs.,77",Orthodox,1984-10-03,M
Jack Hermansson,6' 1",185 lbs.,77",Orthodox,1988-06-10,M
Noe Hernandez,--,--,--,Orthodox,,M
Joe Hernandez,--,--,--,,,M
Ramiro Hernandez,5' 9",135 lbs.,--,Orthodox,1986-07-22,M
Alexander Hernandez,5' 9",155 lbs.,72",Orthodox,1992-10-01,M
Anthony Hernandez,6' 0",185 lbs.,75",Orthodox,1993-10-18,M
Nohelin Hernandez,5' 10",135 lbs.,71",Orthodox,1994-03-01,M
Carlos Hernandez,5' 8",125 lbs.,67",Orthodox,1993-10-25,M
Paul Herrera,5' 10",185 lbs.,--,Orthodox,,M
Chris Herrera,5' 10",185 lbs.,--,,,M
Geane Herrera,5' 5",125 lbs.,66",Orthodox,1990-05-27,M
Alvaro Herrera Mendoza,6' 0",155 lbs.,74",Orthodox,1990-05-14,M
Felice Herrig,5' 4",115 lbs.,65",Orthodox,1984-09-18,F
Heath Herring,6' 4",250 lbs.,78",Orthodox,1978-03-02,M
Jon Hess,6' 7",295 lbs.,--,,,M
Clint Hester,6' 2",205 lbs.,77",Orthodox,1986-11-21,M
Brandon Hester,6' 1",205 lbs.,--,,,M
Jimy Hettes,5' 9",145 lbs.,71",Southpaw,1987-06-09,M
Conor Heun,5' 10",155 lbs.,--,Orthodox,1979-02-11,M
Marcus Hicks,5' 6",155 lbs.,64",Southpaw,1975-11-25,M
Jay Hieron,6' 0",170 lbs.,75",Orthodox,1976-07-29,M
Brady Hiestand,5' 8",135 lbs.,71",Orthodox,1999-04-30,M
Lee Higgins,--,155 lbs.,--,,1980-07-14,M
Jason High,5' 8",155 lbs.,73",Southpaw,1981-10-12,M
Richie Hightower,5' 8",170 lbs.,--,Orthodox,1974-11-26,M
Alex Higley,5' 10",145 lbs.,--,,,M
Corey Hill,6' 4",155 lbs.,80",Orthodox,1978-10-03,M
Isaiah Hill,5' 10",155 lbs.,--,,,M
Angela Hill,5' 3",115 lbs.,64",Orthodox,1985-01-12,F
Tyler Hill,6' 3",170 lbs.,--,Switch,1991-08-10,M
Jamahal Hill,6' 4",205 lbs.,79",Southpaw,1991-05-19,M
Kailan Hill,6' 1",185 lbs.,77",Southpaw,1994-12-01,M
Branden Lee Hinkle,6' 3",235 lbs.,--,Orthodox,1973-07-29,M
Hatsu Hioki,5' 11",145 lbs.,73",Orthodox,1983-07-18,M
Alan Hiro,5' 5",135 lbs.,--,Orthodox,1986-04-04,M
Kuniyoshi Hironaka,5' 10",168 lbs.,70",Orthodox,1976-06-17,M
Mizuto Hirota,5' 7",155 lbs.,67",Orthodox,1981-05-05,M
Yuji Hisamatsu,5' 10",185 lbs.,--,,1971-09-18,M
Kwan Ho Kwak,5' 5",135 lbs.,--,Switch,1989-06-18,M
Matt Hobar,5' 10",135 lbs.,70",Southpaw,1987-01-07,M
Bobby Hoffman,6' 2",245 lbs.,--,Orthodox,1968-10-28,M
Sam Hoger,6' 2",205 lbs.,--,Orthodox,1980-06-28,M
